id,name,source,source_type,task,status,issues_found,task_blockers,browser_status,browser_issue_count,task_execution_status,task_steps_passed,task_steps_total,high_count,medium_count,low_count,issue_types,json_report,markdown_report,error
scholarship_form,Student Scholarship Application,examples/sample_form.html,file,submit_scholarship_application,passed,11,5,passed,4,,,,8,3,0,missing_form_label;generic_link_text;missing_button_name;missing_image_alt;skipped_heading_level;missing_video_captions;browser_focused_control_missing_name,reports/browser_batch_sample/scholarship_form.json,reports/browser_batch_sample/scholarship_form.md,
dynamic_enrollment_form,Course Enrollment Form (JavaScript),examples/sample_dynamic_form.html,file,submit_scholarship_application,passed,4,2,passed,4,,,,4,0,0,browser_focused_control_missing_name;missing_form_label;missing_button_name,reports/browser_batch_sample/dynamic_enrollment_form.json,reports/browser_batch_sample/dynamic_enrollment_form.md,
