id,name,source,source_type,task,status,issues_found,task_blockers,browser_status,browser_issue_count,task_execution_status,task_steps_passed,task_steps_total,high_count,medium_count,low_count,issue_types,json_report,markdown_report,error
accessible_application_form,Scholarship Form (keyboard accessible),examples/sample_task_execution_form.html,file,submit_scholarship_application,passed,0,0,passed,0,completed,11,11,0,0,0,,reports/task_execution_batch/accessible_application_form.json,reports/task_execution_batch/accessible_application_form.md,
broken_application_form,Scholarship Form (click-only submit),examples/sample_task_execution_form_broken.html,file,submit_scholarship_application,passed,1,0,passed,0,blocked,9,11,1,0,0,task_step_blocked,reports/task_execution_batch/broken_application_form.json,reports/task_execution_batch/broken_application_form.md,
