id,name,source,source_type,task,status,issues_found,task_blockers,browser_status,browser_issue_count,low_vision_status,low_vision_issue_count,task_execution_status,task_steps_passed,task_steps_total,high_count,medium_count,low_count,issue_types,json_report,markdown_report,html_report,error
level_access_contact,Level Access,https://www.levelaccess.com/contact/,url,,passed,84,0,passed,5,passed,20,,,,64,20,0,missing_image_alt;low_contrast_text;zoom_fixed_width_content;focus_indicator_missing,reports/email_verified_outreach/level_access_contact.json,reports/email_verified_outreach/level_access_contact.md,reports/email_verified_outreach/level_access_contact.html,
fable_contact,Fable,https://makeitfable.com/contact-fable/,url,,passed,35,0,passed,3,passed,30,,,,27,8,0,missing_image_alt;low_contrast_text;zoom_fixed_width_content,reports/email_verified_outreach/fable_contact.json,reports/email_verified_outreach/fable_contact.md,reports/email_verified_outreach/fable_contact.html,
abilitynet_contact,AbilityNet,https://abilitynet.org.uk/how-to-contact-us,url,,passed,9,0,passed,1,passed,8,,,,5,4,0,missing_image_alt;low_contrast_text;zoom_fixed_width_content,reports/email_verified_outreach/abilitynet_contact.json,reports/email_verified_outreach/abilitynet_contact.md,reports/email_verified_outreach/abilitynet_contact.html,
digital_accessibility_centre_home,Digital Accessibility Centre,https://digitalaccessibilitycentre.org/,url,,passed,9,0,passed,0,passed,8,,,,5,4,0,missing_image_alt;low_contrast_text;zoom_fixed_width_content,reports/email_verified_outreach/digital_accessibility_centre_home.json,reports/email_verified_outreach/digital_accessibility_centre_home.md,reports/email_verified_outreach/digital_accessibility_centre_home.html,
coursera_contact,Coursera,https://www.coursera.org/about/contact,url,,passed,15,0,passed,0,passed,10,,,,7,8,0,generic_link_text;skipped_heading_level;low_contrast_text;zoom_fixed_width_content;focus_indicator_missing,reports/email_verified_outreach/coursera_contact.json,reports/email_verified_outreach/coursera_contact.md,reports/email_verified_outreach/coursera_contact.html,
rnib_home,RNIB,https://www.rnib.org.uk/,url,,passed,15,0,passed,1,passed,3,,,,0,15,0,generic_link_text;missing_image_alt;zoom_fixed_width_content,reports/email_verified_outreach/rnib_home.json,reports/email_verified_outreach/rnib_home.md,reports/email_verified_outreach/rnib_home.html,
